Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 197: maxlinkdim=32 maxerr=1.82E-08 current_time=0.0 + 9.85im time=5.027
After sweep 198: maxlinkdim=32 maxerr=1.95E-08 current_time=0.0 + 9.9im time=4.793
After sweep 199: maxlinkdim=32 maxerr=2.08E-08 current_time=0.0 + 9.95im time=4.547
After sweep 200: maxlinkdim=32 maxerr=2.22E-08 current_time=0.0 + 10.0im time=4.711
After sweep 201: maxlinkdim=32 maxerr=2.37E-08 current_time=0.0 + 10.05im time=6.638
After sweep 202: maxlinkdim=32 maxerr=2.52E-08 current_time=0.0 + 10.1im time=5.607
After sweep 203: maxlinkdim=32 maxerr=2.68E-08 current_time=0.0 + 10.15im time=4.66
After sweep 204: maxlinkdim=32 maxerr=2.86E-08 current_time=0.0 + 10.2im time=4.803
After sweep 205: maxlinkdim=32 maxerr=3.04E-08 current_time=0.0 + 10.25im time=4.427
After sweep 206: maxlinkdim=32 maxerr=3.22E-08 current_time=0.0 + 10.3im time=4.906
After sweep 207: maxlinkdim=32 maxerr=3.42E-08 current_time=0.0 + 10.35im time=4.6
After sweep 208: maxlinkdim=32 maxerr=3.63E-08 current_time=0.0 + 10.4im time=6.902
After sweep 209: maxlinkdim=32 maxerr=3.85E-08 current_time=0.0 + 10.45im time=5.168
After sweep 210: maxlinkdim=32 maxerr=4.07E-08 current_time=0.0 + 10.5im time=4.669
After sweep 211: maxlinkdim=32 maxerr=4.31E-08 current_time=0.0 + 10.55im time=4.196
After sweep 212: maxlinkdim=32 maxerr=4.56E-08 current_time=0.0 + 10.6im time=4.986
After sweep 213: maxlinkdim=32 maxerr=4.82E-08 current_time=0.0 + 10.65im time=4.987
After sweep 214: maxlinkdim=32 maxerr=5.09E-08 current_time=0.0 + 10.7im time=5.457
After sweep 215: maxlinkdim=32 maxerr=5.38E-08 current_time=0.0 + 10.75im time=5.521
After sweep 216: maxlinkdim=32 maxerr=5.67E-08 current_time=0.0 + 10.8im time=5.412
After sweep 217: maxlinkdim=32 maxerr=5.98E-08 current_time=0.0 + 10.85im time=6.269
After sweep 218: maxlinkdim=32 maxerr=6.30E-08 current_time=0.0 + 10.9im time=6.941
After sweep 219: maxlinkdim=32 maxerr=6.63E-08 current_time=0.0 + 10.95im time=5.659
After sweep 220: maxlinkdim=32 maxerr=6.97E-08 current_time=0.0 + 11.0im time=5.43
After sweep 221: maxlinkdim=32 maxerr=7.33E-08 current_time=0.0 + 11.05im time=5.853
After sweep 222: maxlinkdim=32 maxerr=7.70E-08 current_time=0.0 + 11.1im time=4.629
After sweep 223: maxlinkdim=32 maxerr=8.08E-08 current_time=0.0 + 11.15im time=4.916
After sweep 224: maxlinkdim=32 maxerr=8.47E-08 current_time=0.0 + 11.2im time=4.946
After sweep 225: maxlinkdim=32 maxerr=8.88E-08 current_time=0.0 + 11.25im time=5.106
After sweep 226: maxlinkdim=32 maxerr=9.30E-08 current_time=0.0 + 11.3im time=5.345
After sweep 227: maxlinkdim=32 maxerr=9.73E-08 current_time=0.0 + 11.35im time=4.438
After sweep 228: maxlinkdim=32 maxerr=1.02E-07 current_time=0.0 + 11.4im time=5.393
After sweep 229: maxlinkdim=32 maxerr=1.06E-07 current_time=0.0 + 11.45im time=5.83
After sweep 230: maxlinkdim=32 maxerr=1.11E-07 current_time=0.0 + 11.5im time=5.216
After sweep 231: maxlinkdim=32 maxerr=1.16E-07 current_time=0.0 + 11.55im time=6.704
After sweep 232: maxlinkdim=32 maxerr=1.21E-07 current_time=0.0 + 11.6im time=5.724
After sweep 233: maxlinkdim=32 maxerr=1.26E-07 current_time=0.0 + 11.65im time=5.087
After sweep 234: maxlinkdim=32 maxerr=1.31E-07 current_time=0.0 + 11.7im time=4.82
After sweep 235: maxlinkdim=32 maxerr=1.36E-07 current_time=0.0 + 11.75im time=4.449
After sweep 236: maxlinkdim=32 maxerr=1.41E-07 current_time=0.0 + 11.8im time=4.827
After sweep 237: maxlinkdim=32 maxerr=1.47E-07 current_time=0.0 + 11.85im time=5.001
After sweep 238: maxlinkdim=32 maxerr=1.52E-07 current_time=0.0 + 11.9im time=5.689
After sweep 239: maxlinkdim=32 maxerr=1.58E-07 current_time=0.0 + 11.95im time=5.127
After sweep 240: maxlinkdim=32 maxerr=1.64E-07 current_time=0.0 + 12.0im time=5.759
After sweep 241: maxlinkdim=32 maxerr=1.69E-07 current_time=0.0 + 12.05im time=5.342
After sweep 242: maxlinkdim=32 maxerr=1.75E-07 current_time=0.0 + 12.1im time=5.253
After sweep 243: maxlinkdim=32 maxerr=1.81E-07 current_time=0.0 + 12.15im time=5.202
After sweep 244: maxlinkdim=32 maxerr=1.87E-07 current_time=0.0 + 12.2im time=4.804
After sweep 245: maxlinkdim=32 maxerr=1.94E-07 current_time=0.0 + 12.25im time=5.421
After sweep 246: maxlinkdim=32 maxerr=2.00E-07 current_time=0.0 + 12.3im time=5.46
After sweep 247: maxlinkdim=32 maxerr=2.06E-07 current_time=0.0 + 12.35im time=5.823
After sweep 248: maxlinkdim=32 maxerr=2.13E-07 current_time=0.0 + 12.4im time=5.584
After sweep 249: maxlinkdim=32 maxerr=2.19E-07 current_time=0.0 + 12.45im time=6.581
After sweep 250: maxlinkdim=32 maxerr=2.26E-07 current_time=0.0 + 12.5im time=5.458
After sweep 251: maxlinkdim=32 maxerr=2.33E-07 current_time=0.0 + 12.55im time=5.558
After sweep 252: maxlinkdim=32 maxerr=2.40E-07 current_time=0.0 + 12.6im time=5.805
After sweep 253: maxlinkdim=32 maxerr=2.47E-07 current_time=0.0 + 12.65im time=5.117
After sweep 254: maxlinkdim=32 maxerr=2.54E-07 current_time=0.0 + 12.7im time=5.317
After sweep 255: maxlinkdim=32 maxerr=2.61E-07 current_time=0.0 + 12.75im time=5.792
After sweep 256: maxlinkdim=32 maxerr=2.68E-07 current_time=0.0 + 12.8im time=5.393
After sweep 257: maxlinkdim=32 maxerr=2.76E-07 current_time=0.0 + 12.85im time=7.227
After sweep 258: maxlinkdim=32 maxerr=2.83E-07 current_time=0.0 + 12.9im time=8.608
After sweep 259: maxlinkdim=32 maxerr=2.91E-07 current_time=0.0 + 12.95im time=6.113
After sweep 260: maxlinkdim=32 maxerr=2.99E-07 current_time=0.0 + 13.0im time=5.904
After sweep 261: maxlinkdim=32 maxerr=3.07E-07 current_time=0.0 + 13.05im time=5.734
After sweep 262: maxlinkdim=32 maxerr=3.15E-07 current_time=0.0 + 13.1im time=5.719
After sweep 263: maxlinkdim=32 maxerr=3.23E-07 current_time=0.0 + 13.15im time=6.057
After sweep 264: maxlinkdim=32 maxerr=3.32E-07 current_time=0.0 + 13.2im time=6.721
After sweep 265: maxlinkdim=32 maxerr=3.41E-07 current_time=0.0 + 13.25im time=5.676
After sweep 266: maxlinkdim=32 maxerr=3.49E-07 current_time=0.0 + 13.3im time=6.237
After sweep 267: maxlinkdim=32 maxerr=3.58E-07 current_time=0.0 + 13.35im time=6.095
After sweep 268: maxlinkdim=32 maxerr=3.68E-07 current_time=0.0 + 13.4im time=6.338
After sweep 269: maxlinkdim=32 maxerr=3.77E-07 current_time=0.0 + 13.45im time=5.972
